,Title,Body,Tags
5188009,Which ghost software programmer use to backup their system?,"<blockquote>
  <p><strong>Possible Duplicates:</strong><br>
  <a href=""http://superuser.com/questions/18109/disk-imaging-software"">Disk Imaging Software</a><br>
  <a href=""http://superuser.com/questions/7739/windows-backup-by-imaging"">Windows backup by Imaging</a>  </p>
</blockquote>



<p>I decided that I'll use ghost software to make a backup of the system software I have. Someone talking about that here:</p>

<p><a href=""http://stackoverflow.com/questions/5131295/how-to-repair-visual-studio-2010-after-broken-installation-of-async-ctp"">http://stackoverflow.com/questions/5131295/how-to-repair-visual-studio-2010-after-broken-installation-of-async-ctp</a></p>

<p>Are there any comparable backup software like ghost that is free and I can use without any hassle?</p>
",ghost
4276043,How would you handle this with read.transactions in R arules package?,"<p>I'm trying to read a .txt file with the function <code>read.transactions</code>. This is the structure of my file:</p>

<pre><code>1121,1141,1212,1311,1343,2111,2171,2213,2215,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,1112,1126,1145,1146,1181,1213,1441,2122,2322,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,2131,2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,1223,1416,2322,2323,112701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
</code></pre>

<p>I'm using this line of code to carry this out: </p>

<pre><code>tr &lt;- read.transactions(""disco.txt"", format = ""basket"", sep=',',rm.duplicates= TRUE)
</code></pre>

<p>but what I am getting is something like this (<code>inspect(head(tr))</code>):</p>

<pre><code>1 {,      
   1121,  
   1141,  
   1212,  
   1311,  
   1343,  
   2111,  
   2171,  
   2213,  
   2215,  
   2311}  
2 {,      
   1111,  
   1112,  
   1126,  
   1145,  
   1146,  
   1181,  
   1213,  
   1441,  
   2122,  
   2322,  
   3311} 
.
.
.
</code></pre>

<p>My question is: how can I remove the 'empty' itemset from these transactions? The idea is apply the apriori algorithm later in order to get attractive rules. Do you know if that algorithm <code>apriori</code> in <code>R</code> can handle this issue? I've applied the apriori algorithm with the transactions I've just showed you but many of them are useless in terms of containing the empty itemset. </p>

<p>Many thanks in advance!
Regards!</p>
",r
4383942,Why this simple hibernate sample doesn't work?,"<p>I wrote these two classes:</p>

<pre><code>public class ClasseA {

    Integer id;
    String numero;
    ClasseB cb;

    public ClasseB getCb() {
        return cb;
    }

    public void setCb(ClasseB cb) {
        this.cb = cb;
    }


    public Integer getId() {
        return id;
    }

    public void setId(Integer id) {
        this.id = id;
    }

    public String getNumero() {
        return numero;
    }

    public void setNumero(String numero) {
        this.numero = numero;
    }

}
</code></pre>

<p>and </p>

<pre><code>public class ClasseB {

    Integer id;
    String annotazione;

    public String getAnnotazione() {
        return annotazione;
    }

    public void setAnnotazione(String annotazione) {
        this.annotazione = annotazione;
    }

    public Integer getId() {
        return id;
    }

    public void setId(Integer id) {
        this.id = id;
    }


}
</code></pre>

<p>As you can see in ClasseA there is a reference to ClasseB.</p>

<p>this is the mapping:</p>

<pre><code>    &lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;!DOCTYPE hibernate-mapping PUBLIC ""-//Hibernate/Hibernate Mapping DTD 3.0//EN"" ""http://hibernate.sourceforge.net/hibernate-mapping-3.0.dtd""&gt;
&lt;hibernate-mapping&gt;
  &lt;class dynamic-insert=""false"" dynamic-update=""false"" mutable=""true"" name=""ClasseA"" optimistic-lock=""version"" polymorphism=""implicit"" select-before-update=""false""&gt;
    &lt;id name=""id"" type=""java.lang.Integer""&gt;
      &lt;column name=""id""/&gt;
      &lt;generator class=""identity""/&gt;
    &lt;/id&gt;
    &lt;property name=""numero"" type=""java.lang.String""&gt;
      &lt;column name=""numero""/&gt;
    &lt;/property&gt;
    &lt;one-to-one cascade=""all"" class=""ClasseB"" name=""cb""/&gt;
  &lt;/class&gt;
  &lt;class dynamic-insert=""false"" dynamic-update=""false"" mutable=""true"" name=""ClasseB"" optimistic-lock=""version"" polymorphism=""implicit"" select-before-update=""false""&gt;
    &lt;id name=""id"" type=""java.lang.Integer""&gt;
      &lt;column name=""id""/&gt;
      &lt;generator class=""identity""/&gt;
    &lt;/id&gt;
    &lt;property name=""annotazione"" type=""java.lang.String""&gt;
      &lt;column name=""annotazione""/&gt;
    &lt;/property&gt;
  &lt;/class&gt;
&lt;/hibernate-mapping&gt;
</code></pre>

<p>Two things don't work as expected:</p>

<ul>
<li><p>First of all, since I'm using hdb2ddl with update I'd expect do generate a table for classeA with a reference to classeB (and of course a table for classeB). Which isn't. All I get is: </p>

<p>CREATE TABLE <code>classea</code> (
  <code>id</code> INT(11) NOT NULL AUTO_INCREMENT,
  <code>numero</code> VARCHAR(255) DEFAULT NULL,<br>
  PRIMARY KEY (<code>id</code>)
) ENGINE=INNODB AUTO_INCREMENT=5 DEFAULT CHARSET=latin1</p>

<p>CREATE TABLE <code>classeb</code> (
  <code>id</code> int(11) NOT NULL AUTO_INCREMENT,
  <code>annotazione</code> varchar(255) DEFAULT NULL,
  PRIMARY KEY (<code>id</code>)
) ENGINE=InnoDB AUTO_INCREMENT=5 DEFAULT CHARSET=latin1</p></li>
<li><p>Second: If I save an istance of classeA with cb correctly set to a cb istance, it will work putting a row on the first and a row on the second table. But on retrivial it doesn't even load classeA.... </p></li>
</ul>

<p>Please help as I think I didn't understand properly this kind of association. Please don't suggest to use annotations as I can't. Tnx in advance.</p>
",java hibernate
1219146,Make an AJAX call to a php file --> then quit browser --> will the php file still run completely?,"<p>If a user clicks a button that will make an ajax post call to a php file, then navigates away from the website or closes the window, will the php file run completely until it finishes?</p>

<p>i want the file to download stuff to my server and post a bunch of information into a mysql database. This could take a minute or two. But i want the task to finish completely no matter what the user does. </p>

<p>if the ajax post/request gets sent, will the file run through completely?</p>

<p>thanks for any info. </p>
",php ajax post
3405407,what could be a suitable datatype for storing telephone numbers in sql server 2005?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stackoverflow.com/questions/75105/what-datatype-should-be-used-for-storing-phone-numbers-in-sql-server-2005"">What datatype should be used for storing phone numbers in SQL Server 2005?</a>  </p>
</blockquote>



<p>There are various datatypes from which i can choose for example varchar or bigint or decimal or money but which one could be the best in all respect.</p>
",sql-server-2005
5325368,PHP loop syntax issues,"<p>I need to add a counter to the loop as well as pulling contents. What is the syntax for adding the ""and for ($ColCount = ColCount + 1)""</p>

<pre><code>&lt;?php $ColCount = 0?&gt;
&lt;!--get artwork thumbnails --&gt; 
&lt;?php
$dbname = 'pdartist2';
$table = 'artwork';
// query
$result = mysql_query(""SELECT AID, ThumbFilePath, Title, DisplayOrder FROM artwork where SCID = '$SCID' "") or die(mysql_error());
while($row = mysql_fetch_row($result))
{
    foreach($row as $cell)
    and for ($ColCount = ColCount + 1) 

echo ""$ColCount"", ""$cell"";
}
mysql_free_result($result);
?&gt;
</code></pre>
",php
5665050,get URL from xml in to Flash AS3,"<p>Im trying to get a flash file get the URL from a XML file, but when I check my trace in flash i get undefind. Can't figure out why it's not working.</p>

<p>This is my xml:</p>

<pre><code>&lt;?XML version=""1.0"" encoding=""utf-8""?&gt;
&lt;link targ=""_self"" href=""http://www.stackoverflow.com""&gt; &lt;/link&gt;
</code></pre>

<p>and my actionscript in as2 on my button:</p>

<pre><code>on (Release)
{
urlXML = new XML();
urlXML.ignoreWhite = true;
urlXML.load(""xmlurl.xml"");
urlXML.onLoad = function (success)
{
}
  trace(""success is ""+success);
  var url = urlXML.firstChild.attributes.href;
  trace(""url = ""+url);

  {
      trace(""pressed with ""+url);
    getURL(url);
  }

}
</code></pre>

<p>Can someone give me some guidelins how to get his right</p>

<p>Thanks!</p>
",xml flash
292251,Standard(s) for client-side definition of advanced search?,"<p>Is there some kind of established standard or search-meta-language for defining advanced search? Some defined standard for the use of wildcards, logical operators, labels or categories etc.?</p>

<p>Something like Googles possibility to use ""OR"", ""+"" etc for logical definitions, ""label:news"" for specifying a category etc.?</p>

<p>(This client-side ""meta-language"" will later be translated to an server-side sql query. If there are established solutions for this translations, that's of course interesting too!)</p>
",sql
2968442,Building an array where each element depends on the previous,"<p>I'm building a set of arrays where each element depends on the previous element, and I'm having a hard time coming up with an elegant solution for setting the initial value. The code looks something like this:</p>

<pre><code>int A[1024];
int B[1024];
/* ... more arrays... */
int i;
for (i = 0; i &lt; 1024; i++) {
    /* do some work */
    A[i] = A[i-1] + some_value();
    B[i] = B[i-1] + some_other_value();
    /* ... and so on... */
}
</code></pre>

<p>But of course this is an invalid memory access when <code>i</code> is 0. I know that the initial values of all arrays should be 0.</p>

<p>There are several ways to solve this problem. I could put a giant <code>if</code> statement in the loop to check if <code>i</code> is 0. Seems clunky since it will only evaluate to <code>true</code> once. I could keep a temporary variable, initialized to 0, for each array, called <code>prev_val_of_A</code>, etc, that holds the value of the last iteration. I'd have to update it to the current value at the end of every iteration. This seems a little silly since, most of the time, the value I want is sitting right there in the array's previous element. I could fiddle with the meaning of the array, and adopt the convention that the <em>second</em> element in the array contains the value for the <em>first</em> iteration of the loop; that is, allocate for <code>A[1025]</code>, initialize <code>A[0]</code>, then in the loop, do</p>

<pre><code>A[i+1] = A[i] + some_value();
</code></pre>

<p>This seems confusing and might invite errors on further use of <code>A</code>.</p>

<p>I'm looking for clean, elegant suggestions to solve this issue.</p>
",c arrays
5199196,Android GroundOverlay sets incorrect position,"<p>I try to make a location app based on Android Maps API v2. I add marker for my location point and a GroundOverlay circle for location accuracy. But GroundOverlay setPosition function sets slightly different. I can't find why.</p>

<pre><code>        package com.example.locator;

    import com.google.android.gms.maps.CameraUpdateFactory;
    import com.google.android.gms.maps.GoogleMap;
    import com.google.android.gms.maps.SupportMapFragment;
    import com.google.android.gms.maps.model.BitmapDescriptorFactory;
    import com.google.android.gms.maps.model.GroundOverlay;
    import com.google.android.gms.maps.model.GroundOverlayOptions;
    import com.google.android.gms.maps.model.LatLng;
    import com.google.android.gms.maps.model.Marker;
    import com.google.android.gms.maps.model.MarkerOptions;

    import android.location.Criteria;
    import android.location.Location;
    import android.location.LocationListener;
    import android.location.LocationManager;
    import android.os.Bundle;
    import android.content.Context;
    import android.support.v4.app.FragmentActivity;
    import android.view.Menu;

    public class MainActivity extends FragmentActivity implements LocationListener
     {
        GoogleMap mMap;
        Location                lastLocation = null;
        private LocationManager locationManager;
        private String provider;
        Marker curLoc = null; 
        GroundOverlay curLocCircle = null; 

        @Override
        protected void onCreate(Bundle savedInstanceState) {
            super.onCreate(savedInstanceState);  
            setContentView(R.layout.activity_main);

            mMap = ((SupportMapFragment) getSupportFragmentManager().findFragmentById(R.id.map)).getMap();
            mMap.moveCamera(CameraUpdateFactory.newLatLngZoom(new LatLng(22.375675950685434, 29.83346939086914), 13));

            locationManager = (LocationManager) getSystemService(Context.LOCATION_SERVICE);

            Criteria criteria = new Criteria();
            provider = locationManager.getBestProvider(criteria, false);
            Location location = locationManager.getLastKnownLocation(provider);

            if (location != null) {
                onLocationChanged(location);
            } else {
                //empty
            }
            locationManager.requestLocationUpdates(provider, 400, 1, this);
        } 

        @Override
        public boolean onCreateOptionsMenu(Menu menu) {
            // Inflate the menu; this adds items to the action bar if it is present.
            getMenuInflater().inflate(R.menu.activity_main, menu);
            return true;
        }


        public void onLocationChanged(Location location) {
            if (location != null) {

                if (null != curLoc) {
                    curLoc.remove();
                }
                if (null != curLocCircle) {
                    curLocCircle.remove();
                }

                LatLng loc = new LatLng(location.getLatitude(),location.getLongitude());
                curLoc = mMap.addMarker(new MarkerOptions()
                .position(loc)
                .title(""My location"")
                .icon(BitmapDescriptorFactory.fromResource(R.drawable.location32)));

                float accuracy = location.getAccuracy();

                curLocCircle = mMap.addGroundOverlay(new GroundOverlayOptions()
                        .image(BitmapDescriptorFactory
                                .fromResource(R.drawable.location_circle))
                        .position(loc, accuracy)
                        .transparency(0)
                );
                curLocCircle.setPosition(loc);
                mMap.moveCamera(CameraUpdateFactory.newLatLngZoom(loc, 13));
            }
        }

        public void onProviderDisabled(String provider) {
            // TODO Auto-generated method stub

        }

        public void onProviderEnabled(String provider) {
            // TODO Auto-generated method stub

        }

        public void onStatusChanged(String provider, int status, Bundle extras) {
            // TODO Auto-generated method stub

        }

    }
</code></pre>

<p>When I pause app in debugger on line</p>

<pre><code>mMap.moveCamera(CameraUpdateFactory.newLatLngZoom(loc, 13));
</code></pre>

<p>watches shows this data:</p>

<pre><code>curLocCircle.getPosition()  lat/lng: (22.397815012772206,29.954818561673164)
location.getLatitude()      22.397815
location.getLongitude()     29.9548184
loc                         lat/lng: (22.397815,29.9548184)
</code></pre>

<p>curLocCircle.getPosition() somehow shows incorrect location write after setPosition(loc); 
Please help me with that.</p>
",android map location
